Date,State,Confirmed,Recovered,Deaths,Other,Tested
2021-10-01,Andhra Pradesh,2051133,2025805,14186,0,28350167
2021-10-02,Andhra Pradesh,2051998,2027229,14195,0,28400471
2021-10-03,Andhra Pradesh,2052763,2028202,14204,0,28445952
2021-10-04,Andhra Pradesh,2053192,2029231,14208,0,28476467
2021-10-05,Andhra Pradesh,2053863,2030503,14219,0,28517990
2021-10-06,Andhra Pradesh,2054663,2031681,14228,0,28564548
2021-10-07,Andhra Pradesh,2055306,2032520,14236,0,28612576
2021-10-08,Andhra Pradesh,2055999,2033447,14242,0,28660811
2021-10-09,Andhra Pradesh,2056628,2034244,14250,0,28706629
2021-10-10,Andhra Pradesh,2057252,2035054,14254,0,28744941
2021-10-11,Andhra Pradesh,2057562,2036048,14256,0,28767963
2021-10-12,Andhra Pradesh,2058065,2036865,14268,0,28800809
2021-10-13,Andhra Pradesh,2058582,2037691,14276,0,28839595
2021-10-14,Andhra Pradesh,2059122,2038248,14286,0,28879945
2021-10-15,Andhra Pradesh,2059708,2038960,14295,0,28924891
2021-10-16,Andhra Pradesh,2060040,2039545,14302,0,28954134
2021-10-17,Andhra Pradesh,2060472,2040131,14307,0,28985846
2021-10-18,Andhra Pradesh,2060804,2040782,14313,0,29016065
2021-10-19,Andhra Pradesh,2061287,2041316,14317,0,29056256
2021-10-20,Andhra Pradesh,2061810,2041924,14320,0,29100342
2021-10-21,Andhra Pradesh,2062303,2042476,14327,0,29142162
2021-10-22,Andhra Pradesh,2062781,2043050,14333,0,29185656
2021-10-23,Andhra Pradesh,2063177,2043616,14339,0,29226511
2021-10-24,Andhra Pradesh,2063577,2044132,14343,0,29264255
2021-10-25,Andhra Pradesh,2063872,2044692,14350,0,29291896
2021-10-26,Andhra Pradesh,2064287,2045276,14356,0,29325840
2021-10-27,Andhra Pradesh,2064854,2045713,14364,0,29365385
2021-10-28,Andhra Pradesh,2065235,2046127,14365,0,29404281
2021-10-29,Andhra Pradesh,2065716,2046512,14367,0,29443885
2021-10-30,Andhra Pradesh,2066065,2047047,14369,0,29478939
2021-10-31,Andhra Pradesh,2066450,2047722,14373,0,29518787